time,open,high,low,close,date
93277800,0.45834,0.45834,0.45834,0.45834,12/15/1972
93537000,0.449081,0.449081,0.449081,0.449081,12/18/1972
93623400,0.449081,0.449081,0.449081,0.449081,12/19/1972
93709800,0.449081,0.449081,0.449081,0.449081,12/20/1972
93796200,0.444451,0.444451,0.444451,0.444451,12/21/1972
93882600,0.444451,0.444451,0.444451,0.444451,12/22/1972
94228200,0.435192,0.435192,0.435192,0.435192,12/26/1972
94314600,0.430562,0.430562,0.430562,0.430562,12/27/1972
94487400,0.430562,0.430562,0.430562,0.430562,12/29/1972
94833000,0.430562,0.430562,0.430562,0.430562,1/2/1973
94919400,0.425932,0.425932,0.425932,0.425932,1/3/1973
95005800,0.425932,0.425932,0.425932,0.425932,1/4/1973
95092200,0.430562,0.430562,0.430562,0.430562,1/5/1973
95351400,0.509267,0.509267,0.509267,0.509267,1/8/1973
95437800,0.550934,0.550934,0.550934,0.550934,1/9/1973
95524200,0.546304,0.546304,0.546304,0.546304,1/10/1973
95610600,0.583342,0.583342,0.583342,0.583342,1/11/1973
95697000,0.592601,0.592601,0.592601,0.592601,1/12/1973
95956200,0.574083,0.574083,0.574083,0.574083,1/15/1973
96042600,0.574083,0.574083,0.574083,0.574083,1/16/1973
96129000,0.583342,0.583342,0.583342,0.583342,1/17/1973
96215400,0.578712,0.578712,0.578712,0.578712,1/18/1973
96301800,0.564823,0.564823,0.564823,0.564823,1/19/1973
96561000,0.527786,0.527786,0.527786,0.527786,1/22/1973
96647400,0.527786,0.527786,0.527786,0.527786,1/23/1973
96733800,0.527786,0.527786,0.527786,0.527786,1/24/1973
96906600,0.518526,0.518526,0.518526,0.518526,1/26/1973
97165800,0.541675,0.541675,0.541675,0.541675,1/29/1973
97252200,0.555564,0.555564,0.555564,0.555564,1/30/1973
97338600,0.578712,0.578712,0.578712,0.578712,1/31/1973
97425000,0.578712,0.578712,0.578712,0.578712,2/1/1973
97511400,0.574083,0.574083,0.574083,0.574083,2/2/1973
97770600,0.564823,0.564823,0.564823,0.564823,2/5/1973
97857000,0.564823,0.564823,0.564823,0.564823,2/6/1973
97943400,0.564823,0.564823,0.564823,0.564823,2/7/1973
98029800,0.555564,0.555564,0.555564,0.555564,2/8/1973
98116200,0.560194,0.560194,0.560194,0.560194,2/9/1973
98375400,0.564823,0.564823,0.564823,0.564823,2/12/1973
98461800,0.541675,0.541675,0.541675,0.541675,2/13/1973
98548200,0.532415,0.532415,0.532415,0.532415,2/14/1973
98634600,0.527786,0.527786,0.527786,0.527786,2/15/1973
98721000,0.513897,0.513897,0.513897,0.513897,2/16/1973
99066600,0.509267,0.509267,0.509267,0.509267,2/20/1973
99153000,0.504637,0.504637,0.504637,0.504637,2/21/1973
99239400,0.495378,0.495378,0.495378,0.495378,2/22/1973
99325800,0.486118,0.486118,0.486118,0.486118,2/23/1973
99585000,0.444451,0.444451,0.444451,0.444451,2/26/1973
99671400,0.444451,0.444451,0.444451,0.444451,2/27/1973
