time,open,high,low,close,date
1600867800,15.12,16.75,14.09,14.25,9/23/2020
1600954200,14.18,15.64,14.105,15.58,9/24/2020
1601040600,15.83,18.33,15.7656,17.25,9/25/2020
1601299800,17.45,18.6,17.45,18.47,9/28/2020
1601386200,18.88,20.09,18.6,18.78,9/29/2020
1601472600,19.58,21.19,19.58,20.1,9/30/2020
1601559000,21.75,22.5,20.7001,20.95,10/1/2020
1601645400,21,21.3937,19.41,20.9,10/2/2020
1601904600,21.34,21.5,19.8,20.03,10/5/2020
1601991000,20.98,21.12,18,18.29,10/6/2020
1602077400,18.66,19.4,18.42,19.11,10/7/2020
1602163800,19.49,19.5897,18.25,18.37,10/8/2020
1602250200,18.8497,19.27,18,18.11,10/9/2020
1602509400,18.21,19.5,18.2,18.57,10/12/2020
1602595800,18.59,19.87,18.51,18.56,10/13/2020
1602682200,18.6,19.39,18.35,18.79,10/14/2020
1602768600,18.33,19.34,18.31,18.41,10/15/2020
1602855000,18.59,19.83,18.59,19.2,10/16/2020
1603114200,20.68,21.27,19.6,20.06,10/19/2020
1603200600,22.57,23.94,21.91,22.97,10/20/2020
1603287000,25.45,26.1465,24.16,24.64,10/21/2020
1603373400,25.9065,26.43,23.96,24.02,10/22/2020
1603459800,24.46,25.48,24.31,24.67,10/23/2020
1603719000,24.67,25.35,24.13,24.48,10/26/2020
1603805400,26.22,26.4494,25.11,25.79,10/27/2020
1603891800,25.79,26.6,24.79,25.08,10/28/2020
1603978200,25.2,25.75,24.38,24.8,10/29/2020
1604064600,24.8,25.14,22.39,24.04,10/30/2020
1604327400,23.78,24.6,22.4201,22.97,11/2/2020
1604413800,24.71,25.5,24.1,24.99,11/3/2020
1604500200,25.1,27.43,25.1,26.58,11/4/2020
1604586600,27.5,28.74,26.2258,27.78,11/5/2020
1604673000,27.47,27.97,26.58,27.08,11/6/2020
1604932200,27.83,28,24.9,26.32,11/9/2020
1605018600,26.66,28.25,23.59,27.99,11/10/2020
1605105000,27.99,29.5,27.84,29.14,11/11/2020
1605191400,28.71,29.09,27.5301,28.35,11/12/2020
1605277800,28.16,29.36,27.68,29.18,11/13/2020
1605537000,29.15,31.2,28.8,30.26,11/16/2020
1605623400,30.39,32.8,30.045,32.1,11/17/2020
1605709800,32.7,36.87,32.55,35.09,11/18/2020
1605796200,35.485,38.98,35.33,37.9,11/19/2020
1605882600,37.65,40.9,37.59,40.33,11/20/2020
1606141800,41,45.69,41,45.32,11/23/2020
1606228200,46.27,51.37,46.15,51.26,11/24/2020
1606314600,49.42,50.18,41.55,42.8,11/25/2020
1606487400,43.41,44.7,38.5,38.77,11/27/2020
1606746600,40.09,40.44,34.58,37.98,11/30/2020
1606833000,38.61,42.6499,38.6,40.23,12/1/2020
1606919400,36.84,37.4,33.33,34.6,12/2/2020
1607005800,34.91,36.98,34.29,36.3,12/3/2020
1607092200,36.09,36.25,34.21,35.68,12/4/2020
1607351400,35.62,38.38,35.62,37.67,12/7/2020
1607437800,37.77,39.28,36.5,37.1,12/8/2020
1607524200,37.2761,38.18,34.41,35.5,12/9/2020
1607610600,34.05,35.4,33.7014,34.87,12/10/2020
1607697000,34.51,34.8,32.6,33.26,12/11/2020
1607956200,34.15,36.29,34.09,35.91,12/14/2020
1608042600,36.74,36.75,34.84,35.16,12/15/2020
1608129000,35.2787,37.47,35.09,37.47,12/16/2020
1608215400,37.64,39.87,37.21,39.76,12/17/2020
1608301800,39.8,40.44,37.87,38.7,12/18/2020
1608561000,37.555,41.84,37.555,41.6,12/21/2020
1608647400,42.38,44.0494,38.75,40.95,12/22/2020
1608733800,41,41.6999,38.5,38.83,12/23/2020
1608820200,39.2,39.24,36.11,36.35,12/24/2020
1609165800,37.99,40.4,37.21,38.96,12/28/2020
1609252200,39.52,39.53,35.51,35.52,12/29/2020
1609338600,36.06,37.15,35.19,36.89,12/30/2020
1609425000,36.86,37.7,35.86,36.22,12/31/2020
1609770600,37,37,33.75,34.75,1/4/2021
1609857000,34.2,36.35,34.2,35.9,1/5/2021
1609943400,36.08,38.8,35.13,37.89,1/6/2021
1610029800,38.59,40,37.73,39.43,1/7/2021
1610116200,39.55,40.41,37.205,38.31,1/8/2021
1610375400,38,42.2,37.21,39.19,1/11/2021
1610461800,40.25,42.42,38.71,41.99,1/12/2021
1610548200,42.06,44.6,41.07,42.2,1/13/2021
1610634600,42.3782,43.28,40.0676,40.3,1/14/2021
1610721000,39.62,40.2,37.255,38.13,1/15/2021
1611066600,39.19,39.5,36.4,37.73,1/19/2021
1611153000,37.08,37.39,35.25,36,1/20/2021
1611239400,36.68,36.9,35.5,36.73,1/21/2021
1611325800,35.3,38.9,35.3,38.38,1/22/2021
1611585000,40.99,41.9899,35.51,39.26,1/25/2021
1611671400,40.4,40.9,38.09,38.43,1/26/2021
1611757800,37.17,49.6,36.36,40.99,1/27/2021
1611844200,42,42.95,37.01,38.18,1/28/2021
1611930600,38.31,40.4459,36.6601,37.78,1/29/2021
1612189800,38.8182,39.7,36.05,37.27,2/1/2021
1612276200,38.2,39.2641,37.12,38.29,2/2/2021
1612362600,39.38,43.3,39.35,42.84,2/3/2021
1612449000,44.1866,46.7,43.71,44.98,2/4/2021
1612535400,45.99,46.16,42.58,45.23,2/5/2021
1612794600,46.55,48.3,45.0001,45.99,2/8/2021
1612881000,47,48.2899,41.24,44.7,2/9/2021
1612967400,43.1,44.5,41.7,42.675,2/10/2021
1613053800,42.52,42.7483,40.18,42.25,2/11/2021
1613140200,42.5,44.36,42.2229,43.05,2/12/2021
1613485800,43.68,44.25,39.5,40.04,2/16/2021
1613572200,40.05,40.89,38.5,40.53,2/17/2021
1613658600,39.03,39.95,37.6,38.47,2/18/2021
1613745000,39.03,39.75,38.1701,39.02,2/19/2021
1614004200,40,42.15,38.81,40.71,2/22/2021
1614090600,38.19,38.625,33.11,38.35,2/23/2021
1614177000,37.96,39.7,37.8736,38.66,2/24/2021
1614263400,38,38.98,35.15,36.31,2/25/2021
1614349800,36.5,37.559,34.7,35.84,2/26/2021
1614609000,36.8,37.65,36.24,36.95,3/1/2021
1614695400,37.0896,37.4,35.3601,35.45,3/2/2021
1614781800,35.723,36,33.69,34.41,3/3/2021
1614868200,34.1,34.51,31.12,32.7,3/4/2021
1614954600,32.59,32.59,28.51,31.84,3/5/2021
1615213800,31.79,33.879,31.42,31.83,3/8/2021
1615300200,33.1634,33.88,32.44,33.6,3/9/2021
1615386600,34.76,34.91,32.26,33.14,3/10/2021
1615473000,34.13,34.2499,33.26,33.86,3/11/2021
1615559400,33.085,34.15,32.36,34.08,3/12/2021
1615815000,34.1,34.45,33.32,34.45,3/15/2021
1615901400,34.49,35.56,33.36,34.18,3/16/2021
1615987800,33.2,34.51,32.65,34.25,3/17/2021
1616074200,33.42,33.93,31.68,31.96,3/18/2021
1616160600,32.21,33.41,31.55,32.4,3/19/2021
1616419800,32.902,33.32,32.0591,32.29,3/22/2021
1616506200,32.365,32.4965,31.32,31.48,3/23/2021
1616592600,32.12,32.768,30.71,30.8,3/24/2021
1616679000,29.6,33.3,29.51,32.96,3/25/2021
1616765400,32.85,32.88,31.14,31.97,3/26/2021
1617024600,31.75,32.62,31.21,32.1,3/29/2021
1617111000,32,33.37,31.32,33.26,3/30/2021
