time,open,high,low,close,date
1277818200,3.8,5,3.507998,4.778,6/29/2010
1277904600,5.157998,6.08384,4.66,4.766,6/30/2010
1277991000,5,5.184,4.054,4.392002,7/1/2010
1278077400,4.6,4.620002,3.742002,3.84,7/2/2010
1278423000,4,4,3.166,3.222,7/6/2010
1278509400,3.279998,3.326,2.996,3.16,7/7/2010
1278595800,3.228,3.504,3.114,3.492002,7/8/2010
1278682200,3.516,3.579998,3.31,3.479998,7/9/2010
1278941400,3.59,3.614002,3.4,3.41,7/12/2010
1279027800,3.47876,3.728,3.379998,3.628,7/13/2010
1279114200,3.588,4.029998,3.55202,3.968,7/14/2010
1279200600,3.988,4.3,3.8,3.978,7/15/2010
1279287000,4.14,4.26,4.01,4.128,7/16/2010
1279546200,4.274,4.45,4.184,4.382,7/19/2010
1279632600,4.370002,4.370002,4.01,4.06,7/20/2010
1279719000,4.132,4.179998,3.9,4.044,7/21/2010
1279805400,4.1,4.25,4.074,4.2,7/22/2010
1279891800,4.238,4.312,4.212,4.257998,7/23/2010
1280151000,4.3,4.3,4.06,4.19,7/26/2010
1280237400,4.182,4.235998,4.051998,4.11,7/27/2010
1280323800,4.11,4.179998,4.101998,4.144,7/28/2010
1280410200,4.154,4.176,4,4.070002,7/29/2010
1280496600,4.04,4.088,3.91,3.988,7/30/2010
1280755800,4.1,4.194,4.066598,4.184,8/2/2010
1280842200,4.2,4.39,4.164002,4.39,8/3/2010
1280928600,4.39,4.435998,4.170002,4.251998,8/4/2010
1281015000,4.307998,4.31,4.01,4.09,8/5/2010
1281101400,4.020002,4.03202,3.904,3.918,8/6/2010
1281360600,3.979998,3.996,3.89,3.920002,8/9/2010
1281447000,3.929998,3.929998,3.764002,3.806,8/10/2010
1281533400,3.738,3.776,3.570002,3.579998,8/11/2010
1281619800,3.56,3.579998,3.478,3.520002,8/12/2010
1281706200,3.635998,3.69,3.53208,3.664002,8/13/2010
1281965400,3.69,3.76,3.65232,3.756,8/16/2010
1282051800,3.792002,3.879998,3.756,3.829998,8/17/2010
1282138200,3.918,3.918,3.720002,3.754,8/18/2010
1282224600,3.707998,3.85,3.666,3.757998,8/19/2010
1282311000,3.729998,3.822,3.70202,3.820002,8/20/2010
1282570200,3.818,4.07782,3.8,4.026,8/23/2010
1282656600,3.85,3.942002,3.79,3.84,8/24/2010
1282743000,3.832,3.996,3.712,3.979998,8/25/2010
1282829400,3.978,4.054,3.920002,3.95,8/26/2010
