time,open,high,low,close,date
-63019800,0.429534,0.429534,0.429534,0.429534,1/2/1968
-62933400,0.438586,0.438586,0.438586,0.438586,1/3/1968
-62847000,0.446814,0.446814,0.446814,0.446814,1/4/1968
-62760600,0.437763,0.437763,0.437763,0.437763,1/5/1968
-62501400,0.434471,0.434471,0.434471,0.434471,1/8/1968
-62415000,0.426243,0.426243,0.426243,0.426243,1/9/1968
-62328600,0.427888,0.427888,0.427888,0.427888,1/10/1968
-62242200,0.424597,0.424597,0.424597,0.424597,1/11/1968
-62155800,0.412254,0.412254,0.412254,0.412254,1/12/1968
-61896600,0.420483,0.420483,0.420483,0.420483,1/15/1968
-61810200,0.414723,0.414723,0.414723,0.414723,1/16/1968
-61723800,0.418014,0.418014,0.418014,0.418014,1/17/1968
-61637400,0.427888,0.427888,0.427888,0.427888,1/18/1968
-61551000,0.437763,0.437763,0.437763,0.437763,1/19/1968
-61291800,0.434471,0.434471,0.434471,0.434471,1/22/1968
-61205400,0.429534,0.429534,0.429534,0.429534,1/23/1968
-61119000,0.424597,0.424597,0.424597,0.424597,1/24/1968
-61032600,0.421306,0.421306,0.421306,0.421306,1/25/1968
-60946200,0.436117,0.436117,0.436117,0.436117,1/26/1968
-60687000,0.438586,0.438586,0.438586,0.438586,1/29/1968
-60600600,0.432003,0.432003,0.432003,0.432003,1/30/1968
-60514200,0.432003,0.432003,0.432003,0.432003,1/31/1968
-60427800,0.432826,0.432826,0.432826,0.432826,2/1/1968
-60341400,0.426243,0.426243,0.426243,0.426243,2/2/1968
-60082200,0.418014,0.418014,0.418014,0.418014,2/5/1968
-59995800,0.414723,0.414723,0.414723,0.414723,2/6/1968
-59909400,0.40814,0.40814,0.40814,0.40814,2/7/1968
-59823000,0.405671,0.405671,0.405671,0.405671,2/8/1968
-59736600,0.390037,0.390037,0.390037,0.390037,2/9/1968
-59391000,0.399911,0.399911,0.399911,0.399911,2/13/1968
-59304600,0.409786,0.409786,0.409786,0.409786,2/14/1968
-59218200,0.409786,0.409786,0.409786,0.409786,2/15/1968
-59131800,0.409786,0.409786,0.409786,0.409786,2/16/1968
-58872600,0.405671,0.405671,0.405671,0.405671,2/19/1968
-58786200,0.401557,0.401557,0.401557,0.401557,2/20/1968
-58699800,0.399088,0.399088,0.399088,0.399088,2/21/1968
-58527000,0.398265,0.398265,0.398265,0.398265,2/23/1968
-58267800,0.397443,0.397443,0.397443,0.397443,2/26/1968
-58181400,0.394974,0.394974,0.394974,0.394974,2/27/1968
-58095000,0.391683,0.391683,0.391683,0.391683,2/28/1968
-58008600,0.378517,0.378517,0.378517,0.378517,2/29/1968
-57922200,0.382631,0.382631,0.382631,0.382631,3/1/1968
-57663000,0.384277,0.384277,0.384277,0.384277,3/4/1968
-57576600,0.387568,0.387568,0.387568,0.387568,3/5/1968
-57490200,0.393328,0.393328,0.393328,0.393328,3/6/1968
-57403800,0.391683,0.391683,0.391683,0.391683,3/7/1968
-57317400,0.382631,0.382631,0.382631,0.382631,3/8/1968
-57058200,0.380162,0.380162,0.380162,0.380162,3/11/1968
-56971800,0.376871,0.376871,0.376871,0.376871,3/12/1968
-56885400,0.378517,0.378517,0.378517,0.378517,3/13/1968
-56799000,0.375225,0.375225,0.375225,0.375225,3/14/1968
-56712600,0.378517,0.378517,0.378517,0.378517,3/15/1968
-56453400,0.390037,0.390037,0.390037,0.390037,3/18/1968
-56367000,0.390037,0.390037,0.390037,0.390037,3/19/1968
-56280600,0.383454,0.383454,0.383454,0.383454,3/20/1968
-56194200,0.390037,0.390037,0.390037,0.390037,3/21/1968
-56107800,0.387568,0.387568,0.387568,0.387568,3/22/1968
-55848600,0.388391,0.388391,0.388391,0.388391,3/25/1968
-55762200,0.393328,0.393328,0.393328,0.393328,3/26/1968
-55675800,0.394974,0.394974,0.394974,0.394974,3/27/1968
-55589400,0.398265,0.398265,0.398265,0.398265,3/28/1968
-55503000,0.400734,0.400734,0.400734,0.400734,3/29/1968
-55243800,0.414723,0.414723,0.414723,0.414723,4/1/1968
-55157400,0.422951,0.422951,0.422951,0.422951,4/2/1968
-55071000,0.421306,0.421306,0.421306,0.421306,4/3/1968
-54984600,0.427066,0.427066,0.427066,0.427066,4/4/1968
-54898200,0.423774,0.423774,0.423774,0.423774,4/5/1968
-54639000,0.427066,0.427066,0.427066,0.427066,4/8/1968
-54466200,0.4427,0.4427,0.4427,0.4427,4/10/1968
-54379800,0.4427,0.4427,0.4427,0.4427,4/11/1968
-54034200,0.441877,0.441877,0.441877,0.441877,4/15/1968
-53947800,0.4427,0.4427,0.4427,0.4427,4/16/1968
-53861400,0.445991,0.445991,0.445991,0.445991,4/17/1968
-53775000,0.45422,0.45422,0.45422,0.45422,4/18/1968
-53688600,0.451751,0.451751,0.451751,0.451751,4/19/1968
-53429400,0.4427,0.4427,0.4427,0.4427,4/22/1968
-53343000,0.4427,0.4427,0.4427,0.4427,4/23/1968
-53256600,0.43118,0.43118,0.43118,0.43118,4/24/1968
-53170200,0.437763,0.437763,0.437763,0.437763,4/25/1968
-53083800,0.441054,0.441054,0.441054,0.441054,4/26/1968
-52828200,0.450929,0.450929,0.450929,0.450929,4/29/1968
