time,open,high,low,close,date
736963200,0.7066,0.7096,0.7019,0.7041,5/10/1993
737049600,0.7041,0.7043,0.699,0.7028,5/11/1993
737136000,0.7028,0.7047,0.6991,0.7021,5/12/1993
737222400,0.7021,0.7071,0.6979,0.7056,5/13/1993
737308800,0.7056,0.7081,0.7012,0.7036,5/14/1993
737568000,0.7036,0.7046,0.7004,0.7041,5/17/1993
737654400,0.7041,0.7041,0.6871,0.6871,5/18/1993
737740800,0.6871,0.6956,0.6871,0.6936,5/19/1993
737827200,0.6936,0.6961,0.6906,0.6936,5/20/1993
737913600,0.6936,0.6966,0.693,0.6946,5/21/1993
738172800,0.6946,0.6958,0.6888,0.6956,5/24/1993
738259200,0.6956,0.7016,0.695,0.7009,5/25/1993
738345600,0.7009,0.7009,0.6965,0.6986,5/26/1993
738432000,0.6986,0.6986,0.6921,0.6941,5/27/1993
738518400,0.6941,0.6941,0.6861,0.6861,5/28/1993
738777600,0.6861,0.6887,0.6751,0.6758,5/31/1993
738864000,0.6758,0.6826,0.6714,0.6816,6/1/1993
738950400,0.6816,0.6831,0.6761,0.6801,6/2/1993
739036800,0.6801,0.6841,0.6759,0.6803,6/3/1993
739123200,0.6803,0.6803,0.6742,0.6743,6/4/1993
739382400,0.6743,0.6776,0.6721,0.6724,6/7/1993
739468800,0.6724,0.6746,0.6686,0.6708,6/8/1993
739555200,0.6708,0.6776,0.6696,0.6753,6/9/1993
739641600,0.6753,0.6786,0.6731,0.6741,6/10/1993
739728000,0.6741,0.6826,0.6739,0.6796,6/11/1993
739987200,0.6796,0.681,0.6736,0.6739,6/14/1993
740073600,0.6739,0.6786,0.6732,0.6774,6/15/1993
740160000,0.6774,0.6811,0.6756,0.6773,6/16/1993
740246400,0.6773,0.6793,0.6727,0.6735,6/17/1993
740332800,0.6735,0.6792,0.6703,0.6776,6/18/1993
740592000,0.6776,0.6881,0.6763,0.6763,6/21/1993
740678400,0.6763,0.6858,0.6763,0.6827,6/22/1993
740764800,0.6827,0.6846,0.6731,0.6748,6/23/1993
740851200,0.6748,0.6761,0.6653,0.6676,6/24/1993
740937600,0.6676,0.6746,0.6673,0.6686,6/25/1993
741196800,0.6686,0.6721,0.666,0.6691,6/28/1993
741283200,0.6691,0.6736,0.6676,0.6691,6/29/1993
741369600,0.6691,0.6741,0.6621,0.6659,6/30/1993
741456000,0.6659,0.6711,0.6638,0.6704,7/1/1993
741542400,0.6704,0.6721,0.6661,0.6717,7/2/1993
741801600,0.6717,0.6771,0.6661,0.676,7/5/1993
741888000,0.676,0.6796,0.6721,0.6778,7/6/1993
741974400,0.6778,0.6831,0.6745,0.6807,7/7/1993
742060800,0.6807,0.6871,0.6793,0.6848,7/8/1993
