time,open,high,low,close,200 EMA,MACD,Signal Line,Histogram,Cross,Close Above 200 EMA,Close Below 200 EMA,MACD under zero,MACD over zero,Close Up Relative to Yesterday,Close Down Relative to Yesterday
761954400,119.4431,120.54036,118.10828,119.92876,124.2674212,-1.325156775,-1.467276984,0.142120208,1,0,1,,,,
762040800,119.92876,120.61024,118.98605,119.60291,124.2210082,-1.237596018,-1.493593032,0.255997013,0,0,1,,,,
762127200,119.60291,120.11618,118.86152,119.30631,124.1721057,-1.178551026,-1.496224684,0.317673657,0,0,1,,,,
762386400,119.30631,119.74107,118.82579,118.84096,124.1190595,-1.155981861,-1.453323098,0.297341237,0,0,1,,,,
762472800,118.84096,119.6148,118.5906,119.39665,124.0720704,-1.080797337,-1.387302466,0.306505129,0,0,1,,,,
762559200,119.39665,119.62503,117.56961,118.94983,124.0211028,-1.045219065,-1.30639242,0.261173355,0,0,1,,,,
762645600,118.94983,119.17801,117.86597,117.93268,123.9605215,-1.086573194,-1.233483421,0.146910227,0,0,1,,,,
762732000,117.93268,120.1469,117.55796,119.71541,123.9182816,-0.964378471,-1.169452482,0.205074011,0,0,1,,,,
762991200,119.71541,120.26045,119.4656,119.78095,123.8771141,-0.852423535,-1.102964143,0.250540607,0,0,1,,,,
763077600,119.78095,119.9738,119.10031,119.80569,123.8366024,-0.753021765,-1.039393586,0.286371821,0,0,1,,,,
763164000,119.80569,121.63222,119.30484,121.63222,123.8146682,-0.520855343,-0.959755733,0.43890039,0,0,1,,,,
763250400,121.63222,121.9428,120.7925,121.78,123.7944228,-0.321234182,-0.864498306,0.543264124,0,0,1,,,,
763336800,121.78,122.60183,121.0855,121.21423,123.7687492,-0.206307699,-0.758978955,0.552671256,0,0,1,,,,
763596000,121.21423,122.43397,121.21423,121.77136,123.7488747,-0.069471078,-0.64660937,0.577138292,0,0,1,,,,
763682400,121.77136,122.41402,121.48446,122.1454,123.7329197,0.068366743,-0.522877614,0.591244357,0,0,1,,,,
763768800,122.1454,122.32953,121.53548,122.14829,123.7171523,0.17581077,-0.382612729,0.558423499,0,0,1,,,,
763855200,122.14829,122.28665,121.39688,121.39688,123.694065,0.198045484,-0.253454512,0.451499996,0,0,1,,,,
763941600,121.39688,122.03998,121.33946,121.68198,123.6740442,0.235951935,-0.132523904,0.368475839,0,0,1,,,,
764200800,121.68198,121.85367,121.10968,121.56824,123.653091,0.253888534,-0.020644982,0.274533516,0,0,1,,,,
764287200,121.56824,121.95873,121.44191,121.94886,123.6361334,0.295410958,0.070051274,0.225359684,0,0,1,,,,
764373600,121.94886,123.30837,121.77622,123.30837,123.6328721,0.433027204,0.153858095,0.27916911,0,0,1,,,,
764460000,123.30837,123.64474,120.96537,121.61641,123.6128078,0.40094025,0.221330089,0.179610161,0,0,1,,,,
764546400,121.61641,122.44058,121.29138,121.73918,123.5941648,0.381025397,0.271385253,0.109640144,0,0,1,,,,
