time,open,high,low,close,200 EMA,Volume,Volume MA 20,MACD,Signal Line,Histogram,Cross
1577946600,121.938,121.938,121.842,121.849,NaN,31,NaN,NaN,NaN,NaN,NaN
1577948400,121.849,121.925,121.846,121.908,NaN,7004,NaN,NaN,NaN,NaN,NaN
1577950200,121.908,121.97,121.894,121.953,NaN,5206,NaN,NaN,NaN,NaN,NaN
1577952000,121.953,121.996,121.91,121.951,NaN,9087,NaN,NaN,NaN,NaN,NaN
1577953800,121.951,122.001,121.919,121.967,NaN,6973,NaN,NaN,NaN,NaN,NaN
1577955600,121.967,122.017,121.947,121.99,NaN,5824,NaN,NaN,NaN,NaN,NaN
1577957400,121.99,121.994,121.906,121.939,NaN,5461,NaN,NaN,NaN,NaN,NaN
1577959200,121.939,121.965,121.82,121.831,NaN,4931,NaN,NaN,NaN,NaN,NaN
1577961000,121.831,121.867,121.814,121.851,NaN,4584,NaN,NaN,NaN,NaN,NaN
1577962800,121.851,121.896,121.79,121.795,NaN,5335,NaN,NaN,NaN,NaN,NaN
1577964600,121.795,121.801,121.658,121.665,NaN,6477,NaN,NaN,NaN,NaN,NaN
1577966400,121.665,121.778,121.647,121.77,NaN,5655,NaN,NaN,NaN,NaN,NaN
1577968200,121.77,121.784,121.727,121.775,NaN,4540,NaN,NaN,NaN,NaN,NaN
1577970000,121.775,121.779,121.707,121.728,NaN,5566,NaN,NaN,NaN,NaN,NaN
1577971800,121.728,121.728,121.632,121.703,NaN,7835,NaN,NaN,NaN,NaN,NaN
1577973600,121.703,121.727,121.531,121.532,NaN,7746,NaN,NaN,NaN,NaN,NaN
1577975400,121.532,121.537,121.383,121.439,NaN,13564,NaN,NaN,NaN,NaN,NaN
1577977200,121.439,121.443,121.088,121.126,NaN,10077,NaN,NaN,NaN,NaN,NaN
1577979000,121.126,121.307,120.981,121.276,NaN,17085,NaN,NaN,NaN,NaN,NaN
1577980800,121.276,121.319,121.135,121.184,NaN,10373,7167.7,NaN,NaN,NaN,NaN
1577982600,121.184,121.202,121.08,121.087,NaN,7733,7552.8,NaN,NaN,NaN,NaN
1577984400,121.087,121.25,121.072,121.223,NaN,6868,7546,NaN,NaN,NaN,NaN
1577986200,121.223,121.264,121.2,121.231,NaN,4714,7521.4,NaN,NaN,NaN,NaN
1577988000,121.231,121.234,121.144,121.207,NaN,8555,7494.8,NaN,NaN,NaN,NaN
1577989800,121.207,121.252,121.203,121.226,NaN,7673,7529.8,NaN,NaN,NaN,NaN
1577991600,121.226,121.267,121.202,121.239,NaN,3726,7424.9,-0.271000561,NaN,NaN,NaN
1577993400,121.239,121.246,121.196,121.219,NaN,8716,7587.65,-0.259225765,NaN,NaN,NaN
1577995200,121.219,121.239,121.203,121.221,NaN,5296,7605.9,-0.246886813,NaN,NaN,NaN
1577997000,121.221,121.259,121.207,121.257,NaN,6266,7690,-0.231534224,NaN,NaN,NaN
1577998800,121.257,121.277,121.239,121.273,NaN,1687,7507.6,-0.215590922,NaN,NaN,NaN
1578000600,121.273,121.3,121.269,121.3,NaN,893,7228.4,-0.198489008,NaN,NaN,NaN
1578002400,121.3,121.3,121.215,121.242,NaN,813,6986.3,-0.187454871,NaN,NaN,NaN
1578004200,121.242,121.287,121.242,121.269,NaN,1351,6826.85,-0.174519807,NaN,NaN,NaN
1578006000,121.269,121.35,121.268,121.349,NaN,1222,6609.65,-0.156014902,-0.215635208,0.059620306,NaN
1578007800,121.349,121.378,121.252,121.254,NaN,3356,6385.7,-0.147317157,-0.201892608,0.054575451,NaN
1578009600,121.254,121.284,121.226,121.241,NaN,3753,6186.05,-0.139860893,-0.188629844,0.048768951,NaN
1578011400,121.241,121.27,121.133,121.151,NaN,3965,5706.1,-0.139604722,-0.176709612,0.03710489,NaN
1578013200,121.151,121.195,121.132,121.147,NaN,3755,5390,-0.138132169,-0.166331606,0.028199436,NaN
1578015000,121.147,121.156,120.88,120.902,NaN,8204,4945.95,-0.154948464,-0.159593555,0.004645091,NaN
1578016800,120.902,120.976,120.772,120.786,NaN,12500,5052.3,-0.17561139,-0.157051597,-0.018559793,-0.157051597
1578018600,120.786,120.839,120.684,120.73,NaN,15775,5454.4,-0.19426626,-0.157808418,-0.036457841,NaN
1578020400,120.73,120.764,120.67,120.686,NaN,8905,5556.25,-0.210178009,-0.161770441,-0.048407568,NaN
1578022200,120.686,120.871,120.674,120.862,NaN,5112,5576.15,-0.206209402,-0.167347607,-0.038861795,NaN
1578024000,120.862,120.927,120.823,120.862,NaN,5716,5434.2,-0.200750131,-0.173284604,-0.027465526,NaN
1578025800,120.862,120.887,120.769,120.785,NaN,4492,5275.15,-0.200327623,-0.18000313,-0.020324493,NaN
1578027600,120.785,120.821,120.687,120.719,NaN,7245,5451.1,-0.202978619,-0.187044674,-0.015933945,NaN
1578029400,120.719,120.795,120.708,120.733,NaN,6319,5331.25,-0.201625655,-0.194099506,-0.007526149,NaN
1578031200,120.733,120.752,120.671,120.719,NaN,4332,5283.05,-0.199384721,-0.199036868,-0.000347854,NaN
1578033000,120.719,120.799,120.719,120.784,NaN,2814,5110.45,-0.190171628,-0.200654672,0.010483044,-0.200654672
1578034800,120.784,120.788,120.552,120.567,NaN,10991,5575.65,-0.198096736,-0.20108028,0.002983544,NaN
1578036600,120.567,120.574,120.354,120.395,NaN,14941,6278.05,-0.215769151,-0.201701519,-0.014067633,-0.201701519
1578038400,120.395,120.569,120.369,120.545,NaN,14242,6949.5,-0.215190341,-0.202699401,-0.01249094,NaN
1578040200,120.545,120.586,120.389,120.427,NaN,8961,7330,-0.221697651,-0.205026903,-0.016670748,NaN
1578042000,120.427,120.433,120.31,120.416,NaN,10826,7810.2,-0.225146995,-0.207784611,-0.017362384,NaN
1578043800,120.416,120.467,120.333,120.39,NaN,10329,8158.85,-0.227357768,-0.210493405,-0.016864363,NaN
1578045600,120.39,120.46,120.33,120.336,NaN,11582,8550.3,-0.230806577,-0.21373573,-0.017070847,NaN
1578047400,120.336,120.347,120.269,120.326,NaN,10195,8861.8,-0.231676081,-0.217323659,-0.014352422,NaN
1578049200,120.326,120.345,120.258,120.26,NaN,7914,9069.75,-0.23498209,-0.222302599,-0.012679491,NaN
1578051000,120.26,120.267,120.167,120.235,NaN,8634,9091.25,-0.236888712,-0.226612818,-0.010275893,NaN
1578052800,120.235,120.373,120.232,120.296,NaN,8422,8887.35,-0.23081682,-0.228284782,-0.002532039,NaN
1578054600,120.296,120.444,120.288,120.396,NaN,6991,8448.15,-0.215452041,-0.228313859,0.012861818,-0.228313859
1578056400,120.396,120.563,120.394,120.528,NaN,9425,8474.15,-0.190428901,-0.224839554,0.034410653,NaN
1578058200,120.528,120.542,120.44,120.469,NaN,6529,8545,-0.173360299,-0.219085477,0.045725178,NaN
1578060000,120.469,120.623,120.434,120.567,NaN,7392,8628.8,-0.150194183,-0.210511745,0.060317562,NaN
1578061800,120.567,120.725,120.566,120.698,NaN,12459,9027.15,-0.119882335,-0.198186829,0.078304494,NaN
1578063600,120.698,120.748,120.599,120.624,NaN,20840,9706.9,-0.100670689,-0.183630675,0.082959985,NaN
1578065400,120.624,120.656,120.555,120.608,NaN,11367,9959.3,-0.085747939,-0.167049102,0.081301163,NaN
1578067200,120.608,120.631,120.509,120.616,NaN,8747,10180.05,-0.072440965,-0.14877713,0.076336165,NaN
1578069000,120.616,120.677,120.576,120.6,NaN,8339,10456.3,-0.062466088,-0.130071493,0.067605405,NaN
1578070800,120.6,120.648,120.59,120.59,NaN,5193,10166.4,-0.05473687,-0.112214252,0.057477382,NaN
1578072600,120.59,120.642,120.567,120.622,NaN,5263,9682.5,-0.045504726,-0.096111566,0.05060684,NaN
1578074400,120.622,120.646,120.562,120.574,NaN,5003,9220.55,-0.041582053,-0.081469539,0.039887486,NaN
1578076200,120.574,120.677,120.465,120.655,NaN,13942,9469.6,-0.031573325,-0.068289444,0.036716118,NaN
1578078000,120.655,120.681,120.611,120.626,NaN,8466,9351.6,-0.02568531,-0.057823107,0.032137798,NaN
1578079800,120.626,120.661,120.616,120.622,NaN,5511,9110.7,-0.02109857,-0.048981761,0.02788319,NaN
