time,open,high,low,close,date
-63041400,0.429534,0.429534,0.429534,0.429534,1/2/1968
-62955000,0.438586,0.438586,0.438586,0.438586,1/3/1968
-62868600,0.446814,0.446814,0.446814,0.446814,1/4/1968
-62782200,0.437763,0.437763,0.437763,0.437763,1/5/1968
-62523000,0.434471,0.434471,0.434471,0.434471,1/8/1968
-62436600,0.426243,0.426243,0.426243,0.426243,1/9/1968
-62350200,0.427888,0.427888,0.427888,0.427888,1/10/1968
-62263800,0.424597,0.424597,0.424597,0.424597,1/11/1968
-62177400,0.412254,0.412254,0.412254,0.412254,1/12/1968
-61918200,0.420483,0.420483,0.420483,0.420483,1/15/1968
-61831800,0.414723,0.414723,0.414723,0.414723,1/16/1968
-61745400,0.418014,0.418014,0.418014,0.418014,1/17/1968
-61659000,0.427888,0.427888,0.427888,0.427888,1/18/1968
-61572600,0.437763,0.437763,0.437763,0.437763,1/19/1968
-61313400,0.434471,0.434471,0.434471,0.434471,1/22/1968
-61227000,0.429534,0.429534,0.429534,0.429534,1/23/1968
-61140600,0.424597,0.424597,0.424597,0.424597,1/24/1968
-61054200,0.421306,0.421306,0.421306,0.421306,1/25/1968
-60967800,0.436117,0.436117,0.436117,0.436117,1/26/1968
-60708600,0.438586,0.438586,0.438586,0.438586,1/29/1968
-60622200,0.432003,0.432003,0.432003,0.432003,1/30/1968
-60535800,0.432003,0.432003,0.432003,0.432003,1/31/1968
-60449400,0.432826,0.432826,0.432826,0.432826,2/1/1968
-60363000,0.426243,0.426243,0.426243,0.426243,2/2/1968
-60103800,0.418014,0.418014,0.418014,0.418014,2/5/1968
-60017400,0.414723,0.414723,0.414723,0.414723,2/6/1968
-59931000,0.40814,0.40814,0.40814,0.40814,2/7/1968
-59844600,0.405671,0.405671,0.405671,0.405671,2/8/1968
-59758200,0.390037,0.390037,0.390037,0.390037,2/9/1968
-59412600,0.399911,0.399911,0.399911,0.399911,2/13/1968
-59326200,0.409786,0.409786,0.409786,0.409786,2/14/1968
-59239800,0.409786,0.409786,0.409786,0.409786,2/15/1968
-59153400,0.409786,0.409786,0.409786,0.409786,2/16/1968
-58894200,0.405671,0.405671,0.405671,0.405671,2/19/1968
-58807800,0.401557,0.401557,0.401557,0.401557,2/20/1968
-58721400,0.399088,0.399088,0.399088,0.399088,2/21/1968
-58548600,0.398265,0.398265,0.398265,0.398265,2/23/1968
-58289400,0.397443,0.397443,0.397443,0.397443,2/26/1968
-58203000,0.394974,0.394974,0.394974,0.394974,2/27/1968
-58116600,0.391683,0.391683,0.391683,0.391683,2/28/1968
-58030200,0.378517,0.378517,0.378517,0.378517,2/29/1968
-57943800,0.382631,0.382631,0.382631,0.382631,3/1/1968
-57684600,0.384277,0.384277,0.384277,0.384277,3/4/1968
-57598200,0.387568,0.387568,0.387568,0.387568,3/5/1968
-57511800,0.393328,0.393328,0.393328,0.393328,3/6/1968
-57425400,0.391683,0.391683,0.391683,0.391683,3/7/1968
-57339000,0.382631,0.382631,0.382631,0.382631,3/8/1968
-57079800,0.380162,0.380162,0.380162,0.380162,3/11/1968
-56993400,0.376871,0.376871,0.376871,0.376871,3/12/1968
-56907000,0.378517,0.378517,0.378517,0.378517,3/13/1968
-56820600,0.375225,0.375225,0.375225,0.375225,3/14/1968
-56734200,0.378517,0.378517,0.378517,0.378517,3/15/1968
-56475000,0.390037,0.390037,0.390037,0.390037,3/18/1968
-56388600,0.390037,0.390037,0.390037,0.390037,3/19/1968
-56302200,0.383454,0.383454,0.383454,0.383454,3/20/1968
-56215800,0.390037,0.390037,0.390037,0.390037,3/21/1968
-56129400,0.387568,0.387568,0.387568,0.387568,3/22/1968
-55870200,0.388391,0.388391,0.388391,0.388391,3/25/1968
-55783800,0.393328,0.393328,0.393328,0.393328,3/26/1968
-55697400,0.394974,0.394974,0.394974,0.394974,3/27/1968
-55611000,0.398265,0.398265,0.398265,0.398265,3/28/1968
-55524600,0.400734,0.400734,0.400734,0.400734,3/29/1968
-55265400,0.414723,0.414723,0.414723,0.414723,4/1/1968
-55179000,0.422951,0.422951,0.422951,0.422951,4/2/1968
-55092600,0.421306,0.421306,0.421306,0.421306,4/3/1968
-55006200,0.427066,0.427066,0.427066,0.427066,4/4/1968
-54919800,0.423774,0.423774,0.423774,0.423774,4/5/1968
-54660600,0.427066,0.427066,0.427066,0.427066,4/8/1968
-54487800,0.4427,0.4427,0.4427,0.4427,4/10/1968
-54401400,0.4427,0.4427,0.4427,0.4427,4/11/1968
-54055800,0.441877,0.441877,0.441877,0.441877,4/15/1968
-53969400,0.4427,0.4427,0.4427,0.4427,4/16/1968
-53883000,0.445991,0.445991,0.445991,0.445991,4/17/1968
-53796600,0.45422,0.45422,0.45422,0.45422,4/18/1968
-53710200,0.451751,0.451751,0.451751,0.451751,4/19/1968
-53451000,0.4427,0.4427,0.4427,0.4427,4/22/1968
-53364600,0.4427,0.4427,0.4427,0.4427,4/23/1968
-53278200,0.43118,0.43118,0.43118,0.43118,4/24/1968
